f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,Decision
0.48758,0.034139,0.70849,0.066545,0.021192,0.31222,0.79661,0.48678,0.091186,0.72636,0.89081,0.05646,0.43714,0.8228,no
0.50587,0.11289,0.70726,0.066554,0.030506,0.23319,0.67989,0.59678,0.060013,0.73858,0.88766,0.050893,0.44122,0.76793,no
0.40098,0.094003,0.69982,0.066541,0.020247,0.26358,0.78702,0.55014,0.062504,0.74466,0.89106,0.046221,0.363,0.69589,no
0.63142,0.06092,0.72584,0.066549,0.029221,0.25959,0.74456,0.62135,0.036936,0.74216,0.88681,0.030925,0.36967,0.80837,no
0.57495,0.058749,0.71497,0.066735,0.021349,0.2673,0.74406,0.6925,0.078501,0.74889,0.88822,0.037739,0.37678,0.76004,no
0.57209,0.05911,0.72072,0.06843,0.02207,0.29251,0.71226,0.54397,0.11153,0.73994,0.89147,0.04071,0.29253,0.62474,no
0.57941,0.10201,0.72014,0.066485,0.03673,0.2171,0.67799,0.62437,0.094379,0.75298,0.892,0.045687,0.3673,0.68031,no
0.53596,0.050393,0.73118,0.066561,0.015239,0.18595,0.71588,0.63431,0.09253,0.74216,0.89074,0.037246,0.36025,0.71439,no
0.6,0.059443,0.73022,0.066555,0.025224,0.2393,0.78049,0.58674,0.038735,0.72859,0.89169,0.014453,0.27142,0.80919,no
0.45407,0.061065,0.70883,0.066601,0.015423,0.22018,0.78547,0.63339,0.049021,0.75782,0.88959,0.020304,0.21957,0.69375,no
0.50682,0.044674,0.70578,0.066561,0.021209,0.22307,0.75371,0.47946,0.073247,0.72495,0.89017,0.019447,0.25343,0.73973,no
0.39954,0.11041,0.70652,0.066514,0.026391,0.2051,0.7396,0.41494,0.060295,0.70812,0.88585,0.01536,0.24604,0.83393,no
0.44324,0.061884,0.7053,0.16698,0.020278,0.22491,0.78352,0.52014,0.10034,0.7367,0.89093,0.030302,0.28718,0.68679,no
0.61891,0.074631,0.71404,0.066562,0.033454,0.31393,0.73404,0.53671,0.08905,0.73439,0.89056,0.031568,0.29576,0.71424,no
0.54735,0.3426,0.68063,0.064211,0.45223,0.9449,0.57095,0.51382,0.26974,0.72423,0.89203,0.3971,0.8119,0.58496,no
0.53033,0.28296,0.69259,0.066558,0.3611,0.94926,0.55133,0.54997,0.23582,0.73595,0.89205,0.36834,0.95581,0.5078,no
0.52124,0.3823,0.70779,0.066568,0.40079,0.96955,0.52616,0.55557,0.21431,0.71938,0.89215,0.37797,0.78062,0.39815,no
0.56052,0.35496,0.71572,0.32025,0.42431,0.97346,0.53659,0.49776,0.23267,0.70948,0.89202,0.44904,0.86409,0.6706,no
0.52728,0.26527,0.70214,0.066561,0.37649,0.99589,0.54595,0.50644,0.23363,0.72083,0.89205,0.37355,0.87439,0.7087,no
0.53854,0.34446,0.70669,0.066975,0.34426,0.89694,0.55411,0.50289,0.25892,0.70688,0.89203,0.42799,0.95959,0.39855,no
0.54459,0.38512,0.71358,0.064339,0.41476,0.911,0.51688,0.55041,0.23467,0.73933,0.89204,0.33266,0.71663,0.37767,no
0.50316,0.19186,0.7075,0.066561,0.29807,0.89099,0.66459,0.52594,0.195,0.71071,0.89203,0.32944,0.88034,0.66687,no
0.51475,0.1731,0.69451,0.066278,0.238,0.90513,0.66929,0.54955,0.18735,0.7125,0.89204,0.33977,0.74607,0.48563,no
0.52835,0.30407,0.70145,0.63585,0.30315,0.87449,0.61028,0.52747,0.24425,0.71178,0.89163,0.41288,0.92345,0.63563,no
0.53217,0.18426,0.70405,0.066532,0.24728,0.87946,0.65921,0.49146,0.27084,0.7181,0.89204,0.41454,0.97717,0.55861,no
0.48562,0.23542,0.70376,0.066052,0.24596,0.88669,0.66611,0.57436,0.2406,0.74239,0.89202,0.36254,0.76092,0.40203,no
0.49033,0.2997,0.69684,0.066309,0.32659,0.87091,0.5655,0.47401,0.33053,0.71896,0.89138,0.44112,0.95852,0.57169,no
0.54231,0.20622,0.70845,0.066559,0.30846,0.85512,0.61335,0.44627,0.42602,0.70823,0.89203,0.42099,0.94512,0.35141,no
0.47976,0.43046,0.68984,0.066466,0.32843,0.78884,0.49685,0.50467,0.34036,0.7362,0.89208,0.39705,0.77476,0.3528,no
0.37882,0.5492,0.67662,0.089534,0.60738,0.99114,0.31977,0.52569,0.29479,0.73976,0.89201,0.33439,0.70034,0.3623,no
0.018655,0.97255,0.63575,0.04845,1,1,0.06197,0.57509,0.23382,0.75081,0.89207,0.32598,0.84297,0.36896,no
0.074794,0.75544,0.62283,0.058643,0.58403,0.92294,0.3108,0.51231,0.24253,0.70775,0.89202,0.43691,0.9631,0.58147,no
0.48982,0.20306,0.87894,0.066591,0.25685,0.91228,0.73747,0.53107,0.23382,0.72634,0.89203,0.39173,0.98056,0.4822,no
0.017038,0.71515,0.80872,0.079744,0.64392,0.92637,0.42328,0.52736,0.25843,0.73066,0.89193,0.3386,0.88226,0.5554,no
0.4261,0.51112,0.66713,0.064887,0.34862,0.82615,0.43118,0.55983,0.25328,0.74505,0.8924,0.33621,0.76013,0.47194,no
0.50064,0.22638,0.69898,0.19266,0.31934,0.80277,0.59284,0.54727,0.20183,0.72724,0.89204,0.39734,0.82307,0.48575,no
0.49776,0.27016,0.69276,0.066775,0.32438,0.85919,0.59191,0.52668,0.19146,0.71643,0.89203,0.41983,1,0.43043,no
0.54836,0.25614,0.70243,0.066559,0.32456,0.89796,0.60759,0.51374,0.17607,0.71335,0.89182,0.3852,0.97881,0.55214,no
0.46926,0.25376,0.68611,0.065673,0.26979,0.89332,0.65104,0.5189,0.20267,0.71053,0.89179,0.36176,0.94191,0.518,no
0.49195,0.39547,0.68905,0.059571,0.31217,0.81769,0.5863,0.50345,0.28024,0.72825,0.89203,0.34128,0.81176,0.37206,no
0.48511,0.21799,0.66925,0.066701,0.28961,0.87847,0.7292,0.53699,0.18949,0.71682,0.89203,0.29298,0.73716,0.58531,no
0.48314,0.22852,0.69043,0.066561,0.27851,0.84324,0.73737,0.50038,0.28579,0.72726,0.89071,0.35352,0.72498,0.42701,no
0.48804,0.17463,0.68789,0.066464,0.23656,0.89045,0.6872,0.44603,0.40303,0.7061,0.89203,0.38748,0.91426,0.38057,no
0.50693,0.29955,0.6957,0.75678,0.31346,0.88573,0.63258,0.48664,0.33535,0.72324,0.89209,0.35779,0.84677,0.57246,no
0.50388,0.2556,0.70093,0.061989,0.30305,0.85606,0.68485,0.55592,0.25678,0.73778,0.89203,0.34822,0.83164,0.58542,no
0.51518,0.23093,0.66994,0.06637,0.3029,0.87163,0.67277,0.50402,0.27413,0.74397,0.8715,0.36492,0.92644,0.47615,no
0.50038,0.2892,0.71023,0.066048,0.30353,0.84324,0.60992,0.54399,0.32513,0.73765,0.89203,0.38872,0.8755,0.56074,no
0.50197,0.25779,0.6823,0.066502,0.32166,0.80829,0.63991,0.51744,0.29996,0.72884,0.89189,0.3368,0.90078,0.44504,no
0.5426,0.22125,0.68797,0.066511,0.28133,0.79177,0.7032,0.49907,0.31673,0.72893,0.89203,0.33829,0.78832,0.34173,no
0.52169,0.31102,0.69663,0.065516,0.30606,0.8818,0.62976,0.53744,0.2272,0.73014,0.89082,0.31676,0.76752,0.56329,no
0.52696,0.2498,0.69801,0.066506,0.31969,0.88757,0.60104,0.529,0.21367,0.71086,0.89203,0.36194,0.85417,0.4221,no
0.52637,0.29269,0.71237,0.066561,0.30434,0.90919,0.52149,0.50992,0.18767,0.70057,0.89196,0.3335,0.76017,0.63192,no
0.47791,0.33084,0.69984,0.066558,0.34715,0.9172,0.51904,0.53282,0.17526,0.71268,0.892,0.30814,0.89353,0.58316,no
0.53389,0.2502,0.69241,0.065645,0.33756,0.92152,0.53127,0.52883,0.15378,0.71536,0.89204,0.29014,0.84614,0.68772,no
0.51677,0.30663,0.7137,0.065223,0.33528,0.86815,0.63861,0.53093,0.13221,0.73361,0.89202,0.29575,0.9091,0.66347,no
0.54622,0.29699,0.67404,0.065764,0.39604,0.91497,0.64437,0.52889,0.15259,0.73811,0.89155,0.29614,0.77587,0.49587,no
0.53061,0.27949,0.69856,0.066329,0.35592,0.89937,0.59983,0.54648,0.17772,0.71562,0.89188,0.31408,0.75927,0.55633,no
0.50247,0.32995,0.69819,0.066408,0.34096,0.84449,0.45625,0.51894,0.18285,0.7129,0.89202,0.29093,0.83695,0.50077,no
0.56668,0.28191,0.68107,0.065161,0.36178,0.79736,0.63289,0.51105,0.17231,0.70429,0.892,0.29783,0.8466,0.6871,no
0.51988,0.29365,0.70198,0.067354,0.30394,0.86939,0.62787,0.5434,0.16501,0.7202,0.89195,0.3172,0.92135,0.5939,no
0.53949,0.25204,0.71038,0.10715,0.28977,0.88813,0.67551,0.52055,0.23358,0.72332,0.89159,0.33391,0.73408,0.49579,no
0.52486,0.30197,0.7,0.066561,0.36326,0.85881,0.65458,0.53113,0.26436,0.73539,0.89197,0.31373,0.8948,0.51824,no
0.34922,0.48618,0.66553,0.067376,0.46889,0.84336,0.40155,0.49413,0.278,0.73004,0.89201,0.28228,0.68788,0.43919,no
0.44632,0.44376,0.67844,0.066561,0.44528,0.97272,0.56418,0.50253,0.26854,0.7288,0.89203,0.31347,0.80132,0.6997,no
0.89389,0.092568,0.73264,0.066527,0.075888,0.46115,0.52797,0.82233,0.085185,0.77108,0.89199,0.075632,0.5069,0.60532,no
0.85961,0.10146,0.73755,0.066535,0.075677,0.45263,0.51964,0.88799,0.11275,0.76055,0.89203,0.085509,0.53663,0.5418,no
0.86485,0.061515,0.73828,0.066561,0.074193,0.48724,0.51924,0.84982,0.11886,0.76528,0.89203,0.083072,0.45978,0.38067,no
0.8281,0.10785,0.74231,0.066562,0.064908,0.41172,0.54492,0.88761,0.1244,0.76527,0.89203,0.071327,0.43637,0.3533,no
0.89959,0.067728,0.74689,0.066558,0.077141,0.46724,0.62271,0.80694,0.12756,0.75995,0.89201,0.073313,0.50439,0.59305,no
0.92232,0.10416,0.73727,0.066415,0.07089,0.40979,0.56311,0.90768,0.12634,0.7593,0.89204,0.087254,0.52925,0.45567,no
0.89338,0.076441,0.73834,0.066474,0.057794,0.436,0.6071,0.87384,0.096966,0.7671,0.89203,0.082066,0.4694,0.39619,no
0.85759,0.037293,0.74375,0.066564,0.035204,0.31155,0.63656,0.88085,0.065459,0.77986,0.89205,0.064761,0.33253,0.34461,no
0.84563,0.087246,0.73773,0.066402,0.05993,0.3918,0.59733,0.81425,0.057412,0.77026,0.89203,0.071234,0.41686,0.45864,no
1,0.066645,0.74713,0.063042,0.072331,0.39027,0.60549,0.8264,0.046378,0.74736,0.89203,0.075252,0.49208,0.54869,no
0.86479,0.10963,0.7315,0.066562,0.062127,0.3795,0.56999,0.88993,0.032847,0.74777,0.89203,0.068002,0.49513,0.60132,no
0.90473,0.05862,0.74695,0.066431,0.06445,0.43262,0.57751,0.9095,0.054853,0.74966,0.89199,0.085222,0.55924,0.62518,no
0.88682,0.098244,0.74821,0.066514,0.071775,0.39867,0.62862,0.77832,0.081582,0.77728,0.892,0.063003,0.36574,0.47107,no
0.92013,0.091653,0.738,0.066492,0.071202,0.44417,0.50505,0.88544,0.1038,0.77097,0.89203,0.082917,0.45129,0.34419,no
0.93614,0.040038,0.73689,0.06657,0.057469,0.41279,0.60062,0.84987,0.09522,0.77721,0.89203,0.066673,0.46685,0.55465,no
0.88456,0.089976,0.74884,0.066561,0.062262,0.40231,0.56121,0.77954,0.10581,0.77569,0.89201,0.065588,0.31861,0.4084,no
0.83051,0.047116,0.74476,0.066477,0.042851,0.38091,0.58736,0.77865,0.12534,0.77206,0.89203,0.070251,0.33039,0.37099,no
0.88994,0.076896,0.74673,0.06656,0.065429,0.43321,0.51391,0.83467,0.11746,0.76738,0.89207,0.07291,0.4938,0.58687,no
0.87021,0.07204,0.73749,0.066475,0.051135,0.40786,0.5531,0.83717,0.088619,0.78419,0.89203,0.054583,0.27797,0.379,no
0.92048,0.072596,0.74235,0.066578,0.075422,0.4745,0.53449,0.81045,0.071408,0.7809,0.89203,0.066827,0.42743,0.50929,no
0.86148,0.098523,0.73909,0.06655,0.065738,0.4251,0.53797,0.98014,0.078128,0.76636,0.89203,0.08066,0.5309,0.53378,no
0.85409,0.07936,0.72882,0.066559,0.061172,0.42793,0.66921,0.91419,0.068242,0.77634,0.89203,0.073259,0.51363,0.64177,no
0.74914,0.15971,0.74084,0.066539,0.059939,0.36252,0.51868,0.97445,0.059612,0.7499,0.89203,0.08905,0.53989,0.45216,no
0.83177,0.059715,0.73129,0.066566,0.068969,0.44639,0.59496,0.93297,0.068893,0.76564,0.89203,0.082943,0.54191,0.57324,no
0.86784,0.066889,0.73391,0.066556,0.073476,0.45551,0.67801,0.85712,0.081112,0.77756,0.89203,0.068772,0.37562,0.38997,no
0.82533,0.0772,0.73231,0.066528,0.052966,0.40526,0.57931,0.78178,0.064392,0.77354,0.89203,0.035489,0.32547,0.58018,no
0.93832,0.030861,0.73075,0.066561,0.046455,0.31117,0.57844,0.8813,0.075244,0.76607,0.89203,0.041445,0.39872,0.65675,no
0.8723,0.090451,0.73298,0.066542,0.055779,0.40177,0.63861,0.90262,0.092799,0.75642,0.89194,0.066926,0.49213,0.61088,no
0.91759,0.03463,0.73959,0.066536,0.054317,0.36796,0.6011,0.86473,0.12209,0.75714,0.89202,0.070646,0.47729,0.49379,no
0.80536,0.11807,0.73529,0.066563,0.080636,0.41114,0.52566,0.87109,0.13304,0.75256,0.89203,0.062402,0.45126,0.47316,no
0.91845,0.067878,0.74021,0.066448,0.066474,0.42419,0.59291,0.85966,0.11047,0.76117,0.89206,0.054345,0.39603,0.43588,no
0.88217,0.068124,0.73236,0.066562,0.059649,0.40293,0.53155,0.85666,0.075916,0.77776,0.89206,0.054909,0.43348,0.57312,no
0.85347,0.070691,0.78454,0.066561,0.04585,0.30531,0.48447,0.85171,0.059658,0.78065,0.89204,0.044136,0.35018,0.49822,no
0.91436,0.039349,0.77999,0.066511,0.055515,0.38458,0.54052,0.92713,0.070404,0.76277,0.89203,0.072377,0.51484,0.60569,no
0.8914,0.071638,0.73651,0.066561,0.049862,0.36895,0.57344,0.93991,0.046832,0.75692,0.8921,0.061751,0.45675,0.5246,no
0.90401,0.031145,0.77014,0.06656,0.043163,0.34347,0.52067,0.92393,0,0.74314,0.89201,0.019589,0.32791,0.7022,no
0.8925,0.053047,0.75137,0.066561,0.060211,0.44152,0.62706,0.81462,0.013219,0.77293,0.89202,0.019684,0.26126,0.64169,no
0.8919,0.046946,0.75295,0.066559,0.057024,0.43475,0.61014,0.93354,0.044637,0.7679,0.892,0.038597,0.407,0.68067,no
0.88266,0.035691,0.73857,0.06656,0.045154,0.4494,0.67808,0.77033,0.072145,0.77154,0.89203,0.038333,0.36183,0.6021,no
0.88829,0.079166,0.73993,0.066582,0.065652,0.44529,0.54636,0.85973,0.09481,0.76374,0.89203,0.055595,0.40454,0.46662,no
0.85636,0.042159,0.73948,0.066556,0.049919,0.36019,0.59928,0.78953,0.11666,0.76349,0.89195,0.064894,0.38783,0.42742,no
